,Game_ID,Opponent_Number,Date,Is_Weekend,Month,Year,Is_Day,Win_Streak,Win_Per,Bobble_head,Precip,Temp,Attendance,DOW
0,1,1,20170403,0,4,2017,1,1,1,0,0,60,"53,701",Mon
1,2,1,20170404,0,4,2017,0,0,0.5,0,0,62,"42,196",Tue
2,3,1,20170405,0,4,2017,0,1,0.666666667,0,0,67,"38,373",Wed
3,4,1,20170406,0,4,2017,1,2,0.75,0,0,66,"36,501",Thu
4,115,1,20170811,0,8,2017,0,0,0.704347826,0,0,86,"52,898",Fri
5,116,1,20170812,1,8,2017,0,1,0.706896552,0,0,86,"53,230",Sat
6,117,1,20170813,1,8,2017,1,2,0.709401709,0,0.1,75,"46,128",Sun
7,157,1,20170925,0,9,2017,0,2,0.636942675,0,0,76,"49,419",Mon
8,158,1,20170926,0,9,2017,0,3,0.639240506,1,0,76,"47,432",Tue
9,159,1,20170927,0,9,2017,0,4,0.641509434,0,0,71,"47,273",Wed
10,24,1,20160429,0,4,2016,0,0,0.5,0,0,61,"49,686",Fri
11,25,1,20160430,1,4,2016,0,0,0.48,0,0,59,"45,740",Sat
12,26,1,20160501,1,5,2016,1,1,0.5,0,0,62,"49,271",Sun
13,88,1,20160707,0,7,2016,0,0,0.545454545,0,0.3,68,"44,759",Thu
14,89,1,20160708,0,7,2016,0,1,0.550561798,0,0.1,70,"43,588",Fri
15,90,1,20160709,1,7,2016,1,2,0.555555556,0,0.1,72,"48,411",Sat
16,91,1,20160710,1,7,2016,1,3,0.56043956,0,0,74,"42,801",Sun
17,134,1,20160902,0,9,2016,0,0,0.552238806,0,0.2,72,"48,911",Fri
18,135,1,20160903,1,9,2016,0,1,0.555555556,0,0,69,"47,590",Sat
19,136,1,20160904,1,9,2016,1,2,0.558823529,0,0.6,67,"46,441",Sun
20,1,1,20150406,0,4,2015,1,1,1,0,0,61,"53,518",Mon
21,2,1,20150407,0,4,2015,0,0,0.5,0,7.9,54,"40,356",Tue
22,3,1,20150408,0,4,2015,0,1,0.666666667,0,0,62,"52,204",Wed
23,41,1,20150522,0,5,2015,0,1,0.609756098,0,0,64,"48,514",Fri
24,42,1,20150523,1,5,2015,0,2,0.619047619,1,0,65,"53,479",Sat
25,43,1,20150524,1,5,2015,1,0,0.604651163,0,0,66,"50,182",Sun
26,160,1,20151002,0,10,2015,0,2,0.5625,0,0,74,"45,564",Fri
27,161,1,20151003,1,10,2015,0,3,0.565217391,0,0,74,"52,352",Sat
28,162,1,20151004,1,10,2015,1,4,0.567901235,0,0.28,74,"42,863",Sun
29,94,1,20140710,0,7,2014,0,1,0.553191489,0,0,78,"50,332",Thu
30,95,1,20140711,0,7,2014,0,0,0.547368421,0,0,78,"46,073",Fri
31,96,1,20140712,1,7,2014,0,1,0.552083333,1,0,79,"51,794",Sat
32,97,1,20140713,1,7,2014,1,2,0.556701031,0,0,83,"47,131",Sun
33,127,1,20140819,0,8,2014,0,1,0.559055118,0,0,78,"45,459",Tue
34,128,1,20140820,0,8,2014,0,0,0.5546875,1,0,73,"46,641",Wed
35,129,1,20140821,0,8,2014,0,1,0.558139535,0,0,78,"39,596",Thu
36,144,1,20140908,0,9,2014,0,4,0.569444444,0,0.1,82,"41,886",Mon
37,145,1,20140909,0,9,2014,0,0,0.565517241,1,0,80,"45,213",Tue
38,146,1,20140910,0,9,2014,0,1,0.568493151,0,0,81,"45,586",Wed
39,13,1,20130415,0,4,2013,0,0,0.538461538,0,0.1,55,"52,136",Mon
40,14,1,20130416,0,4,2013,0,0,0.5,0,0,54,"35,898",Tue
41,15,1,20130417,0,4,2013,0,0,0.466666667,0,0,63,"52,393",Wed
42,56,1,20130603,0,6,2013,0,1,0.428571429,0,0,66,"37,055",Mon
43,57,1,20130604,0,6,2013,0,2,0.438596491,0,0,64,"37,544",Tue
44,58,1,20130605,0,6,2013,0,0,0.431034483,0,0.1,65,"40,040",Wed
45,134,1,20130830,0,8,2013,0,2,0.589552239,0,0,86,"51,769",Fri
46,135,1,20130831,1,8,2013,0,3,0.592592593,0,0.2,85,"53,121",Sat
47,136,1,20130901,1,9,2013,1,4,0.595588235,0,0,82,"52,168",Sun
48,8,1,20120413,0,4,2012,0,4,0.875,0,15.1,48,"31,601",Fri
49,9,1,20120414,1,4,2012,0,5,0.888888889,0,0,52,"46,549",Sat
50,10,1,20120415,1,4,2012,1,6,0.9,0,0,58,"38,359",Sun
51,88,1,20120713,0,7,2012,0,1,0.545454545,0,0,80,"43,873",Fri
52,89,1,20120714,1,7,2012,0,0,0.539325843,1,0,78,"54,014",Sat
53,90,1,20120715,1,7,2012,1,0,0.533333333,0,0,74,"39,715",Sun
54,136,1,20120903,0,9,2012,0,3,0.536764706,0,0,77,"33,540",Mon
55,137,1,20120904,0,9,2012,0,0,0.532846715,0,0,79,"40,619",Tue
56,138,1,20120905,0,9,2012,0,0,0.528985507,0,0,77,"50,560",Wed
57,27,1,20110429,0,4,2011,0,2,0.518518519,0,0,68,"36,870",Fri
58,28,1,20110430,1,4,2011,0,0,0.5,0,0,67,"34,453",Sat
59,29,1,20110501,1,5,2011,1,0,0.482758621,0,0,70,"39,869",Sun
60,90,1,20110708,0,7,2011,0,2,0.433333333,0,0,77,"38,529",Fri
61,91,1,20110709,1,7,2011,1,3,0.43956044,0,0,77,"29,744",Sat
62,92,1,20110710,1,7,2011,1,4,0.445652174,0,0,77,"35,249",Sun
63,133,1,20110829,0,8,2011,0,1,0.473684211,0,0,80,"29,764",Mon
64,134,1,20110830,0,8,2011,0,2,0.47761194,0,0,77,"36,589",Tue
65,135,1,20110831,0,8,2011,1,3,0.481481481,0,0,73,"27,767",Wed
66,11,2,20170414,0,4,2017,0,1,0.545454545,0,1.6,62,"49,438",Fri
67,12,2,20170415,1,4,2017,0,2,0.583333333,0,0,63,"48,070",Sat
68,13,2,20170416,1,4,2017,1,0,0.538461538,0,0.1,62,"39,822",Sun
69,14,2,20170417,0,4,2017,0,0,0.5,0,0,64,"35,448",Mon
70,85,2,20170704,0,7,2017,0,1,0.658823529,0,0,83,"53,159",Tue
71,86,2,20170705,0,7,2017,0,2,0.662790698,0,0,86,"40,997",Wed
72,87,2,20170706,0,7,2017,0,3,0.666666667,1,0,88,"41,999",Thu
73,137,2,20170904,0,9,2017,0,0,0.671532847,0,0,81,"47,192",Mon
74,138,2,20170905,0,9,2017,0,0,0.666666667,0,0,79,"47,039",Tue
75,139,2,20170906,0,9,2017,0,0,0.661870504,1,0,76,"48,612",Wed
76,8,2,20160412,0,4,2016,1,0,0.5,0,0.2,59,"53,279",Tue
77,9,2,20160413,0,4,2016,0,1,0.555555556,0,0,63,"44,244",Wed
78,10,2,20160414,0,4,2016,0,2,0.6,0,0,64,"40,879",Thu
79,103,2,20160729,0,7,2016,0,1,0.563106796,0,0,80,"50,966",Fri
80,104,2,20160730,1,7,2016,0,0,0.557692308,0,0,77,"49,540",Sat
81,105,2,20160731,1,7,2016,1,1,0.561904762,0,0,75,"42,380",Sun
82,137,2,20160905,0,9,2016,0,3,0.562043796,0,0,69,"41,820",Mon
83,138,2,20160906,0,9,2016,0,4,0.565217391,0,0,71,"42,457",Tue
84,139,2,20160907,0,9,2016,0,5,0.568345324,0,0.1,71,"44,352",Wed
85,22,2,20150501,0,5,2015,0,2,0.636363636,0,0,79,"50,164",Fri
86,23,2,20150502,1,5,2015,0,3,0.652173913,0,0,76,"43,617",Sat
87,24,2,20150503,1,5,2015,1,4,0.666666667,0,0,75,"48,136",Sun
88,58,2,20150608,0,6,2015,0,1,0.568965517,0,0,87,"42,167",Mon
89,59,2,20150609,0,6,2015,0,2,0.576271186,0,0.1,87,"37,738",Tue
90,60,2,20150610,0,6,2015,0,3,0.583333333,0,0,77,"47,174",Wed
91,149,2,20150921,0,9,2015,0,0,0.570469799,0,0,80,"38,791",Mon
92,150,2,20150922,0,9,2015,0,0,0.566666667,0,0,81,"41,419",Tue
93,151,2,20150923,0,9,2015,0,1,0.569536424,1,0,77,"46,364",Wed
94,152,2,20150924,0,9,2015,1,2,0.572368421,0,0,80,"38,234",Thu
95,17,2,20140418,0,4,2014,0,0,0.588235294,0,0,64,"47,680",Fri
96,18,2,20140419,1,4,2014,0,1,0.611111111,0,0,66,"48,541",Sat
97,19,2,20140420,1,4,2014,1,2,0.631578947,0,0,72,"37,447",Sun
98,69,2,20140613,0,6,2014,0,1,0.52173913,0,0,71,"42,831",Fri
99,70,2,20140614,1,6,2014,0,2,0.528571429,1,0,73,"51,422",Sat
100,71,2,20140615,1,6,2014,1,0,0.521126761,0,0,70,"52,519",Sun
101,141,2,20140905,0,9,2014,0,1,0.560283688,0,0,80,"43,074",Fri
102,142,2,20140906,1,9,2014,0,2,0.563380282,0,0,85,"50,823",Sat
103,143,2,20140907,1,9,2014,1,3,0.566433566,0,0,84,"43,460",Sun
104,31,2,20130506,0,5,2013,0,0,0.419354839,0,4.9,61,"30,981",Mon
105,32,2,20130507,0,5,2013,0,0,0.40625,0,4.7,60,"33,611",Tue
106,33,2,20130508,0,5,2013,0,0,0.393939394,0,0.1,59,"31,512",Wed
107,63,2,20130610,0,6,2013,0,0,0.428571429,0,0,65,"38,275",Mon
108,64,2,20130611,0,6,2013,0,1,0.4375,0,0,71,"42,844",Tue
109,65,2,20130612,0,6,2013,0,0,0.430769231,0,0,65,"41,927",Wed
110,143,2,20130909,0,9,2013,0,1,0.587412587,0,0,79,"52,410",Mon
111,144,2,20130910,0,9,2013,0,2,0.590277778,0,0,76,"41,867",Tue
112,145,2,20130911,0,9,2013,0,0,0.586206897,0,0,74,"40,818",Wed
