,Lati,Long
0,34.0455,-118.2452
1,34.0453,-118.2443
2,34.0467,-118.2485
3,34.0449,-118.2415
4,34.0481,-118.2507
5,34.0491,-118.2558
7,34.0408,-118.2428
8,34.0421,-118.2469
9,34.0408,-118.2428
10,34.0392,-118.2328
11,34.0392,-118.2328
12,34.0428,-118.2461
13,34.0416,-118.2584
14,34.0467,-118.252
15,34.0435,-118.2427
16,34.046,-118.2417
18,34.0582,-118.2387
19,34.0488,-118.2518
20,34.048,-118.2438
21,34.0473,-118.2566
22,34.039,-118.2735
23,34.0455,-118.2381
24,34.0439,-118.2514
25,34.0423,-118.2561
26,34.0423,-118.2561
27,34.0467,-118.2485
29,34.0428,-118.2461
31,34.039,-118.2735
32,34.0442,-118.2439
33,34.046,-118.2509
34,34.0476,-118.2477
35,34.035,-118.2386
36,34.0467,-118.2485
37,34.0481,-118.2507
38,34.0363,-118.2672
39,34.0421,-118.2469
40,34.048,-118.2438
41,34.0461,-118.2476
42,34.0453,-118.2443
43,34.0484,-118.2339
44,34.0416,-118.244
45,34.0416,-118.244
46,34.0402,-118.2598
47,34.0392,-118.2363
48,34.0433,-118.2377
50,34.0449,-118.2415
51,34.0564,-118.2498
52,34.0442,-118.2439
53,34.0503,-118.2433
54,34.0503,-118.2433
55,34.0481,-118.2507
56,34.0474,-118.2496
57,34.0437,-118.2455
58,34.0428,-118.2461
60,34.0402,-118.2598
61,34.0431,-118.2692
63,34.046,-118.2509
64,34.0639,-118.2446
65,34.0421,-118.2469
66,34.048,-118.2577
67,34.0419,-118.2669
68,34.0635,-118.2426
69,34.0467,-118.247
70,34.0417,-118.2443
71,34.0401,-118.2668
72,34.0449,-118.2415
73,34.046,-118.2493
74,34.0483,-118.2631
75,34.0582,-118.2387
76,34.0487,-118.2588
77,34.0655,-118.2489
78,34.046,-118.2509
79,34.0442,-118.2439
80,34.0387,-118.2335
81,34.0423,-118.2452
82,34.0412,-118.2436
83,34.053,-118.2513
84,34.0407,-118.2468
85,34.0467,-118.252
86,34.0449,-118.2458
87,34.0352,-118.2583
88,34.0352,-118.2583
89,34.0352,-118.2583
90,34.0428,-118.2461
91,34.0467,-118.252
92,34.0467,-118.252
93,34.0524,-118.2342
94,34.0442,-118.2439
95,34.0412,-118.2436
96,34.0442,-118.2439
97,34.0388,-118.2574
98,34.043,-118.242
99,34.0481,-118.2507
100,34.0421,-118.2469
101,34.0437,-118.2455
102,34.0395,-118.2405
103,34.0656,-118.232
104,34.0407,-118.268
105,34.0467,-118.252
106,34.0544,-118.2466
107,34.0502,-118.254
108,34.0435,-118.2471
109,34.0502,-118.254
110,34.0442,-118.2439
111,34.0502,-118.254
112,34.0491,-118.2558
113,34.0421,-118.2469
114,34.0449,-118.2415
115,34.0449,-118.2415
116,34.0416,-118.244
117,34.0373,-118.2503
118,34.0516,-118.2561
119,34.0449,-118.2458
120,34.0423,-118.2452
121,34.0426,-118.2412
122,34.0446,-118.245
123,34.0407,-118.2468
125,34.0426,-118.2528
126,34.0502,-118.254
127,34.0453,-118.2443
128,34.0442,-118.2439
129,34.043,-118.2606
130,34.0421,-118.2469
131,34.0495,-118.2458
132,34.0442,-118.2439
133,34.0449,-118.2458
134,34.046,-118.2493
135,34.046,-118.2509
136,34.0632,-118.2408
137,34.0428,-118.2461
138,34.0446,-118.245
139,34.0446,-118.245
140,34.0321,-118.2599
141,34.0649,-118.2797
142,34.076,-118.2737
143,34.0594,-118.2833
144,34.0597,-118.2795
145,34.0625,-118.2714
146,34.0601,-118.2761
147,34.0794,-118.2929
148,34.0492,-118.2742
149,34.0721,-118.2669
150,34.0814,-118.2962
151,34.0574,-118.2736
152,34.0523,-118.2722
153,34.0772,-118.2584
154,34.0548,-118.282
155,34.0549,-118.2778
156,34.0729,-118.2803
157,34.0472,-118.2782
158,34.0555,-118.2656
159,34.0839,-118.2741
160,34.0596,-118.2749
161,34.0767,-118.2844
162,34.0697,-118.273
163,34.0491,-118.2823
164,34.0774,-118.265
165,34.058,-118.2759
168,34.0777,-118.2961
169,34.0774,-118.265
170,34.0597,-118.2795
171,34.0554,-118.2702
172,34.0636,-118.2805
173,34.0695,-118.2768
174,34.0473,-118.2827
175,34.0517,-118.2663
177,34.0567,-118.2815
178,34.058,-118.2715
179,34.0623,-118.2607
180,34.0748,-118.2633
181,34.0685,-118.2775
182,34.0846,-118.2845
183,34.0515,-118.2615
184,34.0517,-118.2798
185,34.0565,-118.2768
186,34.0648,-118.2786
187,34.0562,-118.2673
188,34.058,-118.2715
189,34.0597,-118.2795
190,34.0648,-118.2527
191,34.0671,-118.2713
192,34.0548,-118.282
193,34.0619,-118.2702
194,34.0574,-118.2621
195,34.0856,-118.3005
196,34.0399,-118.2755
197,34.0596,-118.2749
198,34.0594,-118.2832
199,34.0565,-118.2768
200,34.0517,-118.2798
201,34.0554,-118.2702
202,34.0585,-118.2725
203,34.0481,-118.2779
204,34.0909,-118.2893
205,34.0818,-118.2941
206,34.0474,-118.2714
207,34.0703,-118.268
208,34.058,-118.2759
209,34.0886,-118.3005
210,34.0524,-118.2765
211,34.0242,-118.2945
212,34.0146,-118.3182
213,34.0156,-118.3132
214,34.0299,-118.3595
215,34.0256,-118.3351
216,34.024,-118.3363
217,34.0105,-118.3398
218,34.0282,-118.3133
219,34.008,-118.3351
220,34.0073,-118.3108
221,34.0105,-118.3398
222,34.0163,-118.3507
223,34.0256,-118.3189
224,34.0228,-118.306
225,34.0363,-118.2919
226,34.0228,-118.306
227,34.0228,-118.306
228,34.0228,-118.306
229,34.0173,-118.298
230,34.0055,-118.2872
231,34.0256,-118.3089
232,34.0055,-118.3089
233,34.0327,-118.3101
234,34.0327,-118.3101
235,34.0295,-118.3457
236,34.0256,-118.3089
237,34.0162,-118.3482
238,34.0146,-118.3354
239,34.0279,-118.343
240,34.0053,-118.3023
241,34.0216,-118.3556
242,34.0125,-118.3435
243,34.0282,-118.372
244,34.0283,-118.3492
245,34.0037,-118.3257
246,34.0283,-118.3492
247,34.011,-118.3351
248,34.0192,-118.3319
249,34.0219,-118.2959
250,34.0182,-118.2915
251,34.021,-118.3002
252,34.0109,-118.3089
253,34.0073,-118.2894
254,34.0347,-118.309
255,34.0244,-118.3327
256,34.0085,-118.3351
257,34.0346,-118.2943
258,34.0109,-118.3045
260,34.0146,-118.313
261,34.0238,-118.3669
262,34.0072,-118.3201
263,34.0064,-118.2915
264,34.011,-118.3351
265,34.0101,-118.2872
266,34.0073,-118.3108
267,34.023,-118.326
268,33.9993,-118.3244
269,34.0256,-118.3138
270,34.0082,-118.3263
272,34.0054,-118.3338
273,34.0325,-118.3698
274,34.0312,-118.3251
275,34.0099,-118.298
276,34.0145,-118.3045
277,34.0124,-118.3111
278,34.0109,-118.3013
279,34.0325,-118.3509
280,34.008,-118.3351
281,34.0367,-118.2823
283,34.006,-118.3315
284,34.0281,-118.357
285,34.0155,-118.3013
286,34.0109,-118.2915
287,34.0037,-118.3182
288,34.0295,-118.3417
289,34.0317,-118.284
290,34.0326,-118.3416
291,34.0073,-118.3108
292,34.0073,-118.3108
293,34.0073,-118.3108
294,34.0073,-118.3108
295,34.0326,-118.3239
296,34.0256,-118.3429
297,33.9993,-118.3244
298,34.0256,-118.3248
299,34.0344,-118.2915
300,34.0183,-118.3556
301,34.0242,-118.2959
302,34.0075,-118.2819
303,34.0334,-118.3523
304,34.0072,-118.3214
305,34.0299,-118.3595
306,34.0299,-118.3595
307,34.0312,-118.3327
308,34.0312,-118.3327
309,34.0,-118.3308
310,34.0299,-118.3595
311,34.0256,-118.3374
312,34.0145,-118.298
313,34.0101,-118.3341
314,34.0173,-118.2958
315,34.0228,-118.3373
316,34.0261,-118.3662
317,34.0256,-118.3089
318,34.0336,-118.3441
319,34.0336,-118.3441
320,34.001,-118.3203
321,34.0276,-118.3384
322,34.0132,-118.2915
323,34.0081,-118.3475
324,34.0278,-118.3378
325,34.021,-118.3002
326,34.0155,-118.3002
327,34.0126,-118.3403
328,34.0435,-118.2131
329,34.0793,-118.2148
330,34.0891,-118.1624
331,34.0188,-118.201
332,34.0577,-118.2134
333,34.0736,-118.2156
334,34.0906,-118.1648
335,34.0302,-118.2006
336,34.0491,-118.2016
337,34.0501,-118.197
338,34.0233,-118.2222
339,34.0668,-118.2213
340,34.0736,-118.2156
341,34.0907,-118.188
343,34.0667,-118.2211
344,34.0278,-118.201
345,34.066,-118.2142
346,34.0301,-118.195
347,34.0863,-118.1842
348,34.0462,-118.2153
349,34.0676,-118.2129
350,34.0827,-118.173
351,34.0961,-118.1613
352,34.0617,-118.2127
353,34.0257,-118.2139
354,34.0891,-118.1717
355,34.0878,-118.1716
356,34.0878,-118.1716
357,34.0878,-118.1716
358,34.1024,-118.1836
359,34.0228,-118.2009
360,34.024,-118.1923
361,34.0472,-118.2198
362,34.0499,-118.2206
363,34.0278,-118.201
364,34.03,-118.2008
365,34.0284,-118.2158
366,34.0512,-118.2093
367,34.0719,-118.2156
368,34.0943,-118.1702
369,34.0943,-118.1702
370,34.0486,-118.2066
371,34.0512,-118.2066
372,34.0796,-118.2028
373,34.0323,-118.2169
374,34.0243,-118.2198
375,34.0881,-118.1877
376,34.0187,-118.2118
377,34.0512,-118.2093
378,34.0512,-118.2093
379,34.0512,-118.2093
380,34.0262,-118.2033
381,34.0289,-118.2085
382,34.0447,-118.2075
383,34.0806,-118.2176
384,34.0299,-118.2037
385,34.0573,-118.2126
386,34.0573,-118.2126
387,34.0573,-118.2126
388,34.0579,-118.1968
389,34.0475,-118.2241
390,34.0462,-118.2153
391,34.0716,-118.1727
392,34.0716,-118.1727
393,34.0395,-118.2094
394,34.0828,-118.178
395,34.0881,-118.1877
396,34.0923,-118.1978
397,34.0904,-118.1801
398,34.0904,-118.1801
399,34.0189,-118.1954
400,34.0878,-118.1716
401,34.0736,-118.2156
402,34.0499,-118.2058
403,34.0248,-118.1956
404,34.0495,-118.2036
405,34.0802,-118.1769
406,34.0802,-118.1769
407,34.0245,-118.2143
408,34.0581,-118.1938
409,34.0578,-118.2102
410,34.0423,-118.2155
411,34.0421,-118.206
412,34.0165,-118.195
413,34.0504,-118.2068
414,34.0421,-118.206
415,34.0421,-118.206
416,34.0421,-118.206
418,34.0166,-118.1942
419,34.0256,-118.1961
420,34.0256,-118.1961
421,34.045,-118.1956
444,33.8047,-118.2579
448,33.8191,-118.3089
450,33.8399,-118.3039
457,33.8672,-118.2906
463,33.8234,-118.3015
464,33.8234,-118.3015
465,33.8234,-118.3015
475,33.8448,-118.3093
494,33.8016,-118.3042
504,33.8429,-118.304
511,34.1016,-118.3387
512,34.1016,-118.3361
513,34.1016,-118.3417
515,34.098,-118.3387
516,34.1016,-118.3387
517,34.098,-118.3652
518,34.098,-118.3441
520,34.088,-118.3222
521,34.0863,-118.3019
522,34.1016,-118.3374
523,34.1016,-118.3387
524,34.1037,-118.3252
525,34.0981,-118.3056
526,34.0981,-118.3113
527,34.0962,-118.3288
528,34.0962,-118.3288
529,34.1017,-118.3174
530,34.1148,-118.3741
531,34.1016,-118.332
532,34.0944,-118.3506
533,34.1052,-118.3252
534,34.1017,-118.3245
535,34.098,-118.3223
536,34.1036,-118.3049
537,34.1034,-118.3325
538,34.1016,-118.3267
539,34.098,-118.3656
540,34.1054,-118.3093
541,34.1016,-118.3417
542,34.103,-118.3225
543,34.0981,-118.3032
544,34.1146,-118.3607
545,34.1016,-118.3361
546,34.098,-118.3295
547,34.1016,-118.3387
548,34.0962,-118.3366
549,34.0998,-118.3295
550,34.0885,-118.3033
551,34.0885,-118.3033
552,34.0928,-118.3092
553,34.0908,-118.3092
554,34.1016,-118.3387
555,34.0908,-118.3114
556,34.1016,-118.3387
557,34.0997,-118.3387
559,34.0926,-118.3363
560,34.1016,-118.3387
561,34.0835,-118.3266
562,34.0885,-118.3078
563,34.1016,-118.3417
564,34.0998,-118.331
565,34.0958,-118.3092
566,34.1032,-118.3348
567,34.0967,-118.307
568,34.0967,-118.307
569,34.1075,-118.3295
570,34.0835,-118.3266
571,34.098,-118.3267
572,34.0926,-118.3386
573,34.0885,-118.3033
574,34.1037,-118.3252
575,34.098,-118.3416
576,34.098,-118.3416
577,34.098,-118.3416
578,34.1017,-118.3245
579,34.0782,-118.3463
580,34.0445,-118.3623
582,34.0572,-118.3425
583,34.0633,-118.3473
584,34.0782,-118.3766
585,34.0434,-118.3621
586,34.0476,-118.3245
588,34.0379,-118.323
589,34.048,-118.3434
590,34.0379,-118.323
591,34.0783,-118.3441
592,34.0434,-118.3358
593,34.0528,-118.373
594,34.0734,-118.3765
595,34.046,-118.3453
596,34.0571,-118.34
597,34.0412,-118.3563
598,34.0414,-118.3549
599,34.0726,-118.3393
600,34.0735,-118.3571
601,34.0836,-118.3486
602,34.0721,-118.3658
603,34.0479,-118.3481
604,34.0569,-118.3337
605,34.0569,-118.3337
606,34.0802,-118.368
607,34.0353,-118.3779
608,34.0353,-118.3779
609,34.0353,-118.3779
610,34.0495,-118.3215
611,34.079,-118.3308
612,34.0647,-118.3424
613,34.0368,-118.3754
614,34.0424,-118.3751
615,34.0457,-118.3278
616,34.0782,-118.3695
617,34.073,-118.3731
618,34.0471,-118.449
619,34.0397,-118.4301
620,34.0517,-118.442
621,34.0579,-118.4683
622,34.0311,-118.4547
623,34.038,-118.4436
624,34.038,-118.4436
625,34.0536,-118.4655
626,34.0495,-118.4387
627,34.04,-118.4063
628,34.0594,-118.3836
629,34.0484,-118.45
630,34.0605,-118.4193
639,34.1493,-118.4307
641,34.1417,-118.4165
646,34.1494,-118.4394
654,34.149,-118.4537
669,34.1016,-118.3295
703,34.1413,-118.506
707,34.0871,-118.2576
708,34.082,-118.272
710,34.107,-118.2598
711,34.0935,-118.2918
712,34.1051,-118.2313
713,34.1152,-118.1991
714,34.1093,-118.1876
715,34.1053,-118.2514
716,34.1086,-118.1898
717,34.0869,-118.2598
718,34.1,-118.2984
719,34.0786,-118.2522
720,34.1,-118.2984
721,34.0874,-118.2251
722,34.0975,-118.2755
